id,day,topic:,count
1,2018-02-05,5_treasury yields_inflation fed_bond yields_cpi inflation,21
1,2018-02-05,7_immigration_bipartisan_senator_congressional,23
1,2018-02-05,1_earnings conference_fourth 2017 earnings_2017 financial earnings_2017 earnings,30
1,2018-02-05,29_super bowl_bowl_nbc_stadium,34
1,2018-02-05,0_pharma_pharmaceuticals_pharmaceutical_eikon coverage brief,49
2,2018-02-06,5_treasury yields_inflation fed_bond yields_cpi inflation,26
2,2018-02-06,2_initial public offering_public offering_pricing_stockholders,27
2,2018-02-06,1_earnings conference_fourth 2017 earnings_2017 financial earnings_2017 earnings,33
2,2018-02-06,0_pharma_pharmaceuticals_pharmaceutical_eikon coverage brief,51
2,2018-02-06,26_recent volatility_trader_volatility_traders,53
3,2018-02-08,3_fy earnings_earnings_operating earnings_net earnings,31
3,2018-02-08,4_earnings earnings_2018 earnings_qtrly earnings_2017 earnings earnings,35
3,2018-02-08,2_initial public offering_public offering_pricing_stockholders,41
3,2018-02-08,1_earnings conference_fourth 2017 earnings_2017 financial earnings_2017 earnings,44
3,2018-02-08,0_pharma_pharmaceuticals_pharmaceutical_eikon coverage brief,55
