id,day,topic:,count
4,2018-03-23,1_conference_2018 earnings_2017 earnings_2017 financial earnings,17
4,2018-03-23,8_shareholder_lawsuit filed_shareholders_litigation,17
4,2018-03-23,131_pricing_ipo_priced_initial public offering,30
4,2018-03-23,31_spending_congress_congressional_funding,35
4,2018-03-23,3_tariffs trade china_china tariffs_tariffs china_trump tariffs,37
5,2018-03-27,4_fy earnings_earnings_operating earnings_net earnings,29
5,2018-03-27,45_fy earnings_eikon coverage earnings_earnings_total earnings,30
5,2018-03-27,27_fy earnings_earnings_eikon coverage earnings_net earnings,33
5,2018-03-27,1_conference_2018 earnings_2017 earnings_2017 financial earnings,35
5,2018-03-27,36_self driving_uber_vehicle_driving,39
