topic:,freq_days,total_count,avg_count_per_day,share_days
0_pharma_pharmaceuticals_pharmaceutical_eikon coverage brief,17,837,49.23529411764706,0.68
1_earnings conference_fourth 2017 earnings_2017 financial earnings_2017 earnings,9,328,36.44444444444444,0.36
3_fy earnings_earnings_operating earnings_net earnings,4,138,34.5,0.16
2_initial public offering_public offering_pricing_stockholders,4,119,29.75,0.16
13_eikon coverage earnings_earnings_net earnings_earnings attributable,4,99,24.75,0.16
10_pyeongchang south korea_north korea_korea_south korea,4,67,16.75,0.16
9_syria_moscow_russia_vladimir,4,59,14.75,0.16
14_earnings_versus earnings_total earnings_earnings rises,3,135,45.0,0.12
11_south african_south africa_africa_african,3,100,33.333333333333336,0.12
29_super bowl_bowl_nbc_stadium,3,80,26.666666666666668,0.12
6_earnings_year earnings_annual earnings_financial,3,79,26.333333333333332,0.12
16_iphone_apple_smartphone_flagship,3,60,20.0,0.12
28_scoring_ottawa_scored_goal,3,36,12.0,0.12
44_rebounds_scoring_winning streak_losing streak,3,36,12.0,0.12
23_2017 net earnings_net earnings_earnings_earnings 18,2,93,46.5,0.08
49_qtrly earnings_earnings_earnings 14 million_earnings 11,2,78,39.0,0.08
52_shutdown_government spending_deficits_deficit,2,74,37.0,0.08
36_memo_trump said_2016 presidential_investigations,2,58,29.0,0.08
18_oil earnings_oil earnings brief_operating earnings_2017 earnings,2,49,24.5,0.08
4_earnings earnings_2018 earnings_qtrly earnings_2017 earnings earnings,2,44,22.0,0.08
12_agreements_partnership_agreement acquire_agreement,2,41,20.5,0.08
30_winter olympics_olympics_olympic_gold medal,2,30,15.0,0.08
21_united_league_goals_champions,2,26,13.0,0.08
156_winter olympics_gold medal_olympic_olympics,2,20,10.0,0.08
42_gareth_england_matches_zealand,2,19,9.5,0.08
4_fy earnings_earnings_operating earnings_net earnings,1,74,74.0,0.04
24_billion deal_fox_sky_takeover,1,60,60.0,0.04
92_operating earnings_earnings_earnings brief_eikon coverage,1,54,54.0,0.04
35_2017 net earnings_net earnings_earnings_earnings 19,1,51,51.0,0.04
71_fy earnings_earnings_coverage earnings_net earnings,1,51,51.0,0.04
124_fy earnings_net earnings_eikon coverage earnings_earnings,1,47,47.0,0.04
80_trump administration_investigation_trump_accused,1,38,38.0,0.04
311_shareholders_sec filing_holdings_stake,1,36,36.0,0.04
115_earnings 10_net earnings_earnings_earnings 11,1,35,35.0,0.04
253_earnings_earnings 10_earnings 12_total earnings,1,35,35.0,0.04
46_angela merkel_merkel_coalition_democrats,1,33,33.0,0.04
72_walmart_retailer_store sales_retailers,1,30,30.0,0.04
94_infrastructure_funding_trump administration_proposal,1,30,30.0,0.04
155_government spending_deficits_deficit_spending,1,29,29.0,0.04
268_syria_israeli_israel_aircraft,1,29,29.0,0.04
25_earnings earnings_financial earnings_2017 financial earnings_2018 earnings,1,28,28.0,0.04
7_immigration_bipartisan_senator_congressional,1,28,28.0,0.04
138_buffett_shareholder_chairman ceo_shareholders,1,26,26.0,0.04
38_uber_lawsuit_sued_driver,1,26,26.0,0.04
27_merger_takeover_shareholders_shareholder,1,25,25.0,0.04
205_jobs nfp earnings_recession_powell rates jobs_000 jobs,1,24,24.0,0.04
34_operating earnings_earnings_eikon coverage gdynia_eikon coverage,1,23,23.0,0.04
125_guns_gun_shooting_bank america,1,21,21.0,0.04
269_insurer_insurance group_insurers_insurance,1,20,20.0,0.04
314_sanctions_north korea_tariffs trade_tariffs,1,20,20.0,0.04
108_european central bank_money laundering_central bank_banking,1,19,19.0,0.04
53_syria_turkey_turkish_iraq,1,18,18.0,0.04
78_winter olympics_olympic_olympics_gold medal,1,18,18.0,0.04
172_xi_beijing china_beijing_presidential,1,17,17.0,0.04
194_eikon coverage earnings_coverage earnings_earnings_coverage earnings brief,1,16,16.0,0.04
112_economic growth_percent january_forecast_percent growth,1,15,15.0,0.04
267_moscow_plane_people killed_crashed,1,15,15.0,0.04
123_winter olympics_olympic_olympics_gold medal,1,14,14.0,0.04
50_tournament_matches_ranked_rankings,1,12,12.0,0.04
93_winter olympics_olympic_olympics_gold medal,1,12,12.0,0.04
230_railway_trains_train_passengers,1,11,11.0,0.04
335_davis_cup_matches_doubles,1,11,11.0,0.04
58_fraud_banking sector_national bank_banking,1,11,11.0,0.04
5_treasury yields_inflation fed_bond yields_cpi inflation,1,11,11.0,0.04
83_winter olympics_olympics_olympic_gold medal,1,11,11.0,0.04
213_olympic_olympics_athlete_winter olympics,1,10,10.0,0.04
101_agriculture_agricultural_produce_exports,1,3,3.0,0.04
110_lawsuits_federal judge_lawsuit_district judge,1,3,3.0,0.04
11_nominated_awards_cast_actor,1,1,1.0,0.04
138_health_adults_older_aged,1,1,1.0,0.04
145_mortgage_prices rose_percent january_prices fell,1,1,1.0,0.04
148_dow jones_dow_jones_companies,1,1,1.0,0.04
18_moscow_russian_vladimir_russia,1,1,1.0,0.04
198_houses_apartment_residence_real estate,1,1,1.0,0.04
19_2018 earnings_2017 earnings_financial earnings_earnings earnings,1,1,1.0,0.04
22_south african_south africa_johannesburg_africa,1,1,1.0,0.04
28_milan_italian_italy_prime minister,1,1,1.0,0.04
38_richest_billionaire_forbes_wealth,1,1,1.0,0.04
59_shareholder_sao paulo_paulo_shareholders,1,1,1.0,0.04
62_tesla_ceo_shareholder_shareholders,1,1,1.0,0.04
6_north korea_north korean_kim jong_korea,1,1,1.0,0.04
70_apple_iphone_devices_smartphones,1,1,1.0,0.04
73_2017 earnings_earnings_earnings 10_net earnings,1,1,1.0,0.04
