topic:,freq_days,total_count,avg_count_per_day,share_days
0_ceo_strategic_enterprise_leading,11,318,28.90909090909091,0.39285714285714285
1_conference_2018 earnings_2017 earnings_2017 financial earnings,8,208,26.0,0.2857142857142857
3_tariffs trade china_china tariffs_tariffs china_trump tariffs,5,137,27.4,0.17857142857142858
6_north korea_north korean_kim jong_korea,5,120,24.0,0.17857142857142858
4_fy earnings_earnings_operating earnings_net earnings,4,124,31.0,0.14285714285714285
2_exchange commission_exchanges_currencies_traders,4,114,28.5,0.14285714285714285
23_shareholder meeting_merger_shareholder_mergers,4,108,27.0,0.14285714285714285
35_scoring_scored_davis_tournament,4,63,15.75,0.14285714285714285
30_wells_tournament_match_matches,4,38,9.5,0.14285714285714285
45_fy earnings_eikon coverage earnings_earnings_total earnings,3,107,35.666666666666664,0.10714285714285714
29_yuan_source text chinese_pre tax_text chinese,3,100,33.333333333333336,0.10714285714285714
11_nominated_awards_cast_actor,3,84,28.0,0.10714285714285714
18_moscow_russian_vladimir_russia,3,80,26.666666666666668,0.10714285714285714
43_diplomats_diplomat_diplomatic_moscow,3,72,24.0,0.10714285714285714
5_pharmaceuticals_president ceo_ceo_appoints,3,71,23.666666666666668,0.10714285714285714
10_ceo_ceo john_compensation_salary,3,67,22.333333333333332,0.10714285714285714
40_compete_hurdles_runner_track,3,63,21.0,0.10714285714285714
15_spy_moscow_russian_suspected,3,61,20.333333333333332,0.10714285714285714
20_united_goals_league_barcelona,3,31,10.333333333333334,0.10714285714285714
58_secretary state rex_state rex tillerson_rex tillerson_secretary state,2,103,51.5,0.07142857142857142
12_fed powell rates_inflation fed powell_powell rates_fed powell,2,93,46.5,0.07142857142857142
27_fy earnings_earnings_eikon coverage earnings_net earnings,2,77,38.5,0.07142857142857142
28_milan_italian_italy_prime minister,2,75,37.5,0.07142857142857142
9_brexit_european union_eu_britain march,2,74,37.0,0.07142857142857142
19_2018 earnings_2017 earnings_financial earnings_earnings earnings,2,68,34.0,0.07142857142857142
122_tariffs trade trump_trump tariffs_gary cohn_trade trump,2,66,33.0,0.07142857142857142
25_earnings earnings_financial earnings_2017 financial earnings_2018 earnings,2,57,28.5,0.07142857142857142
26_steel aluminum tariffs_steel aluminium tariffs_tariffs steel aluminum_impose tariffs steel,2,57,28.5,0.07142857142857142
31_spending_congress_congressional_funding,2,45,22.5,0.07142857142857142
7_public offering_pricing_notes_cash,2,45,22.5,0.07142857142857142
21_walmart_grocery_retailer_deliveries,2,40,20.0,0.07142857142857142
32_hamilton_racing_qualifying_race,2,34,17.0,0.07142857142857142
17_investigation_trump administration_attorney general_justice department,2,31,15.5,0.07142857142857142
57_scoring_scored_goal_goals,2,22,11.0,0.07142857142857142
13_syria_iraq_geneva_moscow,2,20,10.0,0.07142857142857142
34_scoring_scored_jordan_points,2,19,9.5,0.07142857142857142
102_cnbc jim cramer_tariffs trade trump_trade trump_jim cramer,1,43,43.0,0.03571428571428571
87_earnings 2018_net earnings_earnings_earnings 2017,1,43,43.0,0.03571428571428571
41_euro zone_european central bank_bond yields_euro,1,37,37.0,0.03571428571428571
107_sales_percent february_february year_vehicles,1,35,35.0,0.03571428571428571
16_saudi_saudi arabia_arabia_mohammed,1,34,34.0,0.03571428571428571
36_self driving_uber_vehicle_driving,1,33,33.0,0.03571428571428571
95_meat_foods_south african_south africa,1,32,32.0,0.03571428571428571
173_goldman_goldman sachs_sachs_ceo,1,31,31.0,0.03571428571428571
33_gender_workforce_men women_women,1,31,31.0,0.03571428571428571
60_amazon_amazon com_retailer_retailers,1,29,29.0,0.03571428571428571
81_retailer_retailers_walmart_sales,1,29,29.0,0.03571428571428571
77_steel aluminum tariffs_tariffs steel aluminum_steel tariffs_tariffs trade trump,1,28,28.0,0.03571428571428571
156_powell rates jobs_jobs nfp earnings_000 jobs_rates jobs,1,27,27.0,0.03571428571428571
68_net earnings_earnings_trade earnings_tariffs trade earnings,1,25,25.0,0.03571428571428571
73_2017 earnings_earnings_earnings 10_net earnings,1,25,25.0,0.03571428571428571
39_pennsylvania_pa_democrats_democrat,1,24,24.0,0.03571428571428571
76_facebook_facebook fb_social network_privacy,1,24,24.0,0.03571428571428571
8_shareholder_lawsuit filed_shareholders_litigation,1,22,22.0,0.03571428571428571
127_renewable energy_renewable_wind_electricity,1,20,20.0,0.03571428571428571
164_oil earnings_oil gas_petroleum_holdings,1,18,18.0,0.03571428571428571
140_protests_protest_protesters_schools,1,17,17.0,0.03571428571428571
146_south africa_warner_read sydney_ban,1,15,15.0,0.03571428571428571
126_central bank_zhang_tariffs trade china_beijing china,1,13,13.0,0.03571428571428571
212_uber_southeast asia_asia_singapore,1,13,13.0,0.03571428571428571
197_france march_suspect_terrorist_france,1,9,9.0,0.03571428571428571
86_fy earnings_earnings_net earnings_total earnings,1,9,9.0,0.03571428571428571
152_england_ireland_irish_france,1,8,8.0,0.03571428571428571
