position,topic
1,pharma_pharmaceuticals_pharmaceutical_eikon coverage brief
2,ceo_strategic_enterprise_leading
3,earnings conference_fourth 2017 earnings_2017 financial earnings_2017 earnings
4,conference_2018 earnings_2017 earnings_2017 financial earnings
5,initial public offering_public offering_pricing_stockholders
6,exchange commission_exchanges_currencies_traders
7,treasury yields_inflation fed_bond yields_cpi inflation
8,pharmaceuticals_president ceo_ceo_appoints
9,fy earnings_earnings_operating earnings_net earnings
10,tariffs trade china_china tariffs_tariffs china_trump tariffs
